PublishTime,ArticleTitle,ArticleAuthor,ArticleSubtitle,ArticleURL,ArticleKeywords,ArticleCategory
"January 30, 2019 at 07:00PM",Rescue Pets,Katherine Schulten,"Do you know anyone who has a pet acquired from an animal rescue organization, like the Humane Society? What is this pet like? How has having it impacted the lives of those she lives with? |",https://www.nytimes.com/2019/01/31/learning/rescue-pets.html?partner=IFTTT,,The Learning Network
"January 30, 2019 at 07:00PM",Learning With: 'A Merciless Cold Lingers in the Midwest',Katherine Schulten,What were some of the services and businesses that were affected? How? |,https://www.nytimes.com/2019/01/31/learning/learning-with-a-merciless-cold-lingers-in-the-midwest.html?partner=IFTTT,,The Learning Network
"January 30, 2019 at 07:00PM","Frida Kahlo Was a Painter, a Brand Builder, a Survivor. And So Much More.",Rebecca Kleinman,"The artist and pop culture icon meticulously built her own image. A sweeping survey at the Brooklyn Museum examines how she did it, and why. |",https://www.nytimes.com/2019/01/31/arts/design/frida-kahlo-booklyn-museum.html?partner=IFTTT,"Art, Museums",Arts
"January 30, 2019 at 07:00PM","Russian Doll': Programmer, Debug Thyself",James Poniewozik,"Natasha Lyonne creates herself a custom-fit role as a woman getting a second (and third, and fourth â€¦) chance at life. |",https://www.nytimes.com/2019/01/31/arts/television/russian-doll-netflix-review.html?partner=IFTTT,Television,Arts
"January 30, 2019 at 07:00PM",The Best Movies and TV Shows New to Netflix Australia in February,Noel Murray,"Every month, Netflix Australia adds a new batch of movies and TV shows to its library. Here are the titles we think are most interesting for February. |",https://www.nytimes.com/2019/01/31/watching/australia-netflix-february-new-tv-movies.html?partner=IFTTT,"Television, Movies",Watching
"January 30, 2019 at 07:00PM",Could You Last 11 Days Without the Internet? Tonga Finds Out the Hard Way,Daniel Victor,"Since a fiber-optic cable was severed on Jan. 20, contact with the outside world has been difficult for residents of the remote island nation. |",https://www.nytimes.com/2019/01/31/world/asia/tonga-internet-blackout.html?partner=IFTTT,"Wire and Cable, Computers and the Internet",World
"January 30, 2019 at 07:00PM",Trevor Noah Doesn't Think Weather Reporters Ought to Freeze in the Cold,Giovanni Russonello,"â€œI never get why reporters have to go into the bad weather to warn us about it,â€ Noah said. â€œJust tell us from the studio, we'll believe you.â€ |",https://www.nytimes.com/2019/01/31/arts/television/trevor-noah-weather-reporters-polar-vortex.html?partner=IFTTT,,Arts
"January 30, 2019 at 07:00PM","Whether They Wanted it or Not, Jackie Robinson Raised Americans' Consciousness",George Vecsey,A longtime New York Times columnist examines the legacy of the baseball great. |,https://www.nytimes.com/2019/01/31/sports/baseball-jackie-robinson-integration.html?partner=IFTTT,"Blacks, Baseball",Sports
"January 30, 2019 at 07:00PM","Jackie Robinson Showed Me How to Fight On, Not Fight Back",Claire Smith,The first black woman in the Baseball Hall of Fame recalls 42's influence on her as a child. |,https://www.nytimes.com/2019/01/31/sports/jackie-robinson-women-color-barrier.html?partner=IFTTT,"Baseball, Blacks",Sports
"January 30, 2019 at 07:00PM","Afghan Government Control Over Country Falters, U.S. Report Says",Rod Nordland,"The Afghan government's control of its country declined last year, in terms of both territory and population, according to a United States government report. |",https://www.nytimes.com/2019/01/31/world/asia/afghanistan-taliban-territory-control.html?partner=IFTTT,"Afghanistan War (2001- ), United States Defense and Military Forces, Defense and Military Forces",World
"January 30, 2019 at 07:00PM","As a Reporter, She Wrote About Business. As a Novelist, She Writes About Murder.",Amelia Lester,"Jane Harper's mysteries set in Australia have international appeal. Her latest, â€œThe Lost Man,â€ hits American bookstores in February. |",https://www.nytimes.com/2019/01/31/books/jane-harper-lost-man-the-dry-murder-mystery-author.html?partner=IFTTT,"Books and Literature, Writing and Writers",Books
"January 30, 2019 at 07:00PM",Marlon James: By the Book,Unknown Author,"The author, most recently, of â€œBlack Leopard, Red Wolfâ€ admires fantasy fiction that feels â€œwonderfully strange and alarmingly familiar at the same time. That and a woman or man who can wield two swords.â€ |",https://www.nytimes.com/2019/01/31/books/review/marlon-james-by-the-book.html?partner=IFTTT,"Books and Literature, Writing and Writers",Books
"January 30, 2019 at 07:00PM","As Chances of No-Deal Brexit Rise, British Companies Scramble to Prepare",Peter S. Goodman,"A lack of clarity over the terms of Britain's looming departure from the European Union has British businesses stockpiling products and components, and delaying new investments. |",https://www.nytimes.com/2019/01/31/business/brexit-european-union.html?partner=IFTTT,"Great Britain Withdrawal from EU (Brexit), International Trade and World Market",Business
"January 30, 2019 at 07:00PM","Locast, a Free App Streaming Network TV, Would Love to Get Sued",Edmund Lee,"Structured as a nonprofit, the start-up aims to succeed where Aereo was litigated into oblivion. |",https://www.nytimes.com/2019/01/31/business/locast-streaming-free-network-tv.html?partner=IFTTT,Television,Business
"January 30, 2019 at 07:00PM",How Iran's Greatest Director Makes Art of Moral Ambiguity,Giles Harvey,Asghar Farhadi's films fill theaters in a country where taking sides can be dangerous. They've also captivated Hollywood. |,https://www.nytimes.com/2019/01/31/magazine/asghar-farhadis-iran-film.html?partner=IFTTT,Movies,Magazine
"January 30, 2019 at 07:00PM","Does 'Creative' Work Free You from Drudgery, or Just Security?",Jody Rosen,One result of our obsession with creative jobs: You may now be expected to live like a starving artist in order to work for a massive corporation. |,https://www.nytimes.com/2019/01/31/magazine/creative-work-corporations.html?partner=IFTTT,"Creativity, Labor and Jobs",Magazine
"January 30, 2019 at 07:00PM",I Am Learning to Abandon the World: for M,Linda Pastan,Selected by Rita Dove. |,https://www.nytimes.com/2019/01/31/magazine/i-am-learning-to-abandon-the-world-for-m.html?partner=IFTTT,Poetry and Poets,Magazine
"January 30, 2019 at 07:00PM",Who's Leading the Democratic Primary?,Unknown Author,And what does media bias look like in the Trump era? |,https://www.nytimes.com/2019/01/31/opinion/the-argument-kamala-harris-elizabeth-warren-buzzfeed.html?partner=IFTTT,"United States Politics and Government, Presidential Election of 2020, Primaries and Caucuses",Opinion
"January 30, 2019 at 07:00PM","From The Times's Photo Vault, the Many Dimensions of Jackie Robinson",Terence Mcginley,"A new project from the Past Tense archival team celebrates Robinson, a Baseball Hall of Famer and civil rights icon, with 100 photos on what would have been his 100th birthday. |",https://www.nytimes.com/2019/01/31/pageoneplus/jackie-robinson-100-birthday.html?partner=IFTTT,Race and Ethnicity,Corrections
"January 30, 2019 at 07:00PM",A Canadian Scores From Long Distance,Joyce Cohen,"When the N.B.A. came calling, a Vancouver physiotherapist took a shot in Brooklyn. |",https://www.nytimes.com/2019/01/31/realestate/a-canadian-scores-from-long-distance.html?partner=IFTTT,Real Estate and Housing (Residential),Real Estate
"January 30, 2019 at 07:00PM",Was C.T.E. Stealing His Mind? A Gunshot Provided the Answer,John Branch,"Jason Hairston played briefly in the N.F.L., hunted with Donald Trump Jr. and owned a wildly successful hunting gear and apparel company. But he increasingly worried about a degenerative brain disease. |",https://www.nytimes.com/2019/01/31/sports/cte-football-hairston-super-bowl.html?partner=IFTTT,"Chronic Traumatic Encephalopathy, Football",Sports
"January 30, 2019 at 07:00PM","On Jackie Robinson's 100th Birthday, 100 Photos of an Icon",Eric Moskowitz,"Through images and personal essays by longtime New York Times writers, a vivid look at the man who made baseball truly American. |",https://www.nytimes.com/2019/01/31/sports/jackie-robinson-photos-100th-birthday.html?partner=IFTTT,"Baseball, Blacks",Sports
"January 30, 2019 at 07:00PM",Tips for Traveling Cheaply in Any City,Geoffrey Morrison,"Staying comfortable and staying connected away from home can be expensive, but it doesn't have to be. |",https://www.nytimes.com/2019/01/31/travel/tips-for-traveling-cheaply-in-any-city.html?partner=IFTTT,"Travel and Vacations, Hotels and Travel Lodgings, Luggage and Packing, Food",Travel
"January 30, 2019 at 07:00PM",36 Hours in St. Moritz,Laura Rysman,"This scenic Swiss town is prime territory for those who love snow sports. Other distractions include galleries, glamorous old hotels, and restaurants serving robust Alpine meals. |",https://www.nytimes.com/2019/01/31/travel/what-to-do-in-st-moritz.html?partner=IFTTT,Alpine Skiing,Travel
"January 30, 2019 at 07:00PM","He Says 'Wall,' They Say 'Border Security': A Glossary of the Border Debate",Glenn Thrush,The semantics are anything but trivial. |,https://www.nytimes.com/2019/01/31/us/politics/border-wall-types.html?partner=IFTTT,"United States Politics and Government, Border Barriers, Presidential Election of 2016, Illegal Immigration",U.S.
"January 30, 2019 at 07:00PM",A Secret Tunnel Leading Toward a Florida Bank Puzzles the F.B.I.,Julia Jacobs,"A narrow, 150-foot-long tunnel discovered on Tuesday reaches toward a Chase bank near Miami. The F.B.I. called it an â€œattempted bank burglary.â€ |",https://www.nytimes.com/2019/01/31/us/tunnel-bank-burglary-florida.html?partner=IFTTT,"Bank Robberies, Bridges and Tunnels",U.S.
"January 30, 2019 at 07:00PM",Massaging Away a Potential Complication of Birth?,Jen Gunter,A reader asks: Does the a perineal massage do anything to prevent the risk of tearing during birth? |,https://www.nytimes.com/2019/01/31/well/live/massaging-away-a-potential-complication-of-birth.html?partner=IFTTT,"Massage, Birth Control and Family Planning",Well
"January 30, 2019 at 07:00PM",Can Big Global Sports Come Around to Human Rights Advocacy?,Hannah Beech,The fate of a Bahraini soccer player detained in Thailand has raised questions about the power of sports to protect its players. |,https://www.nytimes.com/2019/01/31/world/asia/bahrain-soccer-thailand-fifa.html?partner=IFTTT,"Human Rights and Human Rights Violations, Soccer",World
"January 30, 2019 at 07:00PM","New Zealand Vowed 100,000 New Homes to Ease Crunch. So Far It Has Built 47.",Charlotte Graham-Mclay,"Prime Minister Jacinda Ardern's government said it would scrap its initial target of 1,000 homes by July, while a study showed that housing had grown more unaffordable. |",https://www.nytimes.com/2019/01/31/world/asia/new-zealand-housing-prices.html?partner=IFTTT,"Real Estate and Housing (Residential), Building (Construction)",World
"January 30, 2019 at 07:00PM","Saudis Executed Maid From Philippines Despite Protests, Officials Say",Jason Gutierrez,"The Philippine government said the woman had been convicted of murder, but details of her case were not made public. |",https://www.nytimes.com/2019/01/31/world/asia/philippines-saudi-maid-executed.html?partner=IFTTT,"Domestic Service, Foreign Workers",World
"January 30, 2019 at 07:00PM","On Jackie Robinson's 100th Birthday, 100 Photos of an Icon",Unknown Author,"The man, the athlete, the game changer. |",https://www.nytimes.com/slideshow/2019/01/31/sports/100-photos-jackie-robinson.html?partner=IFTTT,,Sports
"January 30, 2019 at 07:00PM",Your Thursday Briefing,Chris Stanford,"Weather, Facebook, Venezuela: Here's what you need to know. |",https://www.nytimes.com/2019/01/31/briefing/weather-facebook-venezuela.html?partner=IFTTT,,Briefing
"January 30, 2019 at 07:00PM",Family Ties at the Supreme Court,Linda Greenhouse,Do the political activities of Justice Clarence Thomas's wife cross a line? |,https://www.nytimes.com/2019/01/31/opinion/supreme-court-ginni-thomas.html?partner=IFTTT,"Conflicts of Interest, Same-Sex Marriage, Civil Unions and Domestic Partnerships",Opinion
"January 30, 2019 at 07:00PM",The Perils of Reporting on an Investigation of the President,Unknown Author,"After a disputed BuzzFeed article about the special counsel inquiry, Bob Woodward tells us how an error threatened to derail his reporting on Watergate. |",https://www.nytimes.com/2019/01/31/podcasts/the-daily/bob-woodward-nixon-buzzfeed-cohen-mueller.html?partner=IFTTT,"Watergate Affair, Russian Interference in 2016 US Elections and Ties to Trump Associates, News and News Media",Podcasts
"January 30, 2019 at 07:00PM",Julia Hartz Founded Eventbrite With Her FiancÃ©. Then She Took His Job.,David Gelles,The California native is â€œan energy personâ€ who worked in TV and then did a little of everything at the couple's start-up. It all prepared her to take it public. |,https://www.nytimes.com/2019/01/31/business/julia-hartz-eventbrite-corner-office.html?partner=IFTTT,"Computers and the Internet, Initial Public Offerings, Labor and Jobs",Business
"January 30, 2019 at 07:00PM",A.I. Could Worsen Health Disparities,Dhruv Khullar,"In a health system riddled with inequity, we risk making dangerous biases automated and invisible. |",https://www.nytimes.com/2019/01/31/opinion/ai-bias-healthcare.html?partner=IFTTT,"Doctors, Artificial Intelligence, Medicine and Health, Cancer",Opinion
"January 30, 2019 at 07:00PM",DealBook Briefing: The Fed's Reversal Soothes Wall St.,Unknown Author,"The central bank signaled that its march toward higher interest rates may be ending sooner than expected, and investors cheered. |",https://www.nytimes.com/2019/01/31/business/dealbook/federal-reserve-interest-rates.html?partner=IFTTT,Company Reports,Business
"January 30, 2019 at 07:00PM",U.K. Auto Industry Already Feeling the Brexit Pinch,Amie Tsang,Investment in the sector nearly halved in 2018 as negotiations over the departure from the European Union led to uncertainty for manufacturers. |,https://www.nytimes.com/2019/01/31/business/uk-brexit-auto-industry.html?partner=IFTTT,"Automobiles, Great Britain Withdrawal from EU (Brexit), Politics and Government",Business
"January 30, 2019 at 07:00PM",Arctic' Review: Madness in a Frozen Wasteland,Ben Kenigsberg,"Mads Mikkelsen, doing his rugged best, stars in this survival tale. |",https://www.nytimes.com/2019/01/31/movies/arctic-review.html?partner=IFTTT,Movies,Movies
"January 30, 2019 at 07:00PM",Braid' Review: Childhood Friends Play a Dangerous Game in This Jumpy Thriller,Glenn Kenny,"The movie, written and directed by Mitzi Peirone, eventually coalesces as a bitter parable against chasing-your-dreams optimism. |",https://www.nytimes.com/2019/01/31/movies/braid-review.html?partner=IFTTT,Movies,Movies
"January 30, 2019 at 07:00PM",Daughter of Mine' Review: Lessons in Imperfect Parenting,Jeannette Catsoulis,"Ardent and primal, Laura Bispuri's drama addresses complicated ideas with head-clearing simplicity. |",https://www.nytimes.com/2019/01/31/movies/daughter-of-mine-review.html?partner=IFTTT,Movies,Movies
"January 30, 2019 at 07:00PM",Outlaws' Review: Uneasy Riders.,Jeannette Catsoulis,This unremittingly vicious first feature from Stephen McCallum portrays a power struggle in an Australian biker club rife with toxic masculinity and slack-jawed idiocy. |,https://www.nytimes.com/2019/01/31/movies/outlaws-review.html?partner=IFTTT,Movies,Movies
"January 30, 2019 at 07:00PM",Piercing' Review: A Killer Romance,Glenn Kenny,Christopher Abbott plays a character who thinks his baby is telling him to commit murder and dismemberment. |,https://www.nytimes.com/2019/01/31/movies/piercing-review.html?partner=IFTTT,Movies,Movies
"January 30, 2019 at 07:00PM","The Unicorn' Review: Two's Company, Three's a Comedy",Jeannette Catsoulis,"In this workmanlike film, a long-engaged couple consider a threesome to invigorate their moribund sex life. |",https://www.nytimes.com/2019/01/31/movies/the-unicorn-review.html?partner=IFTTT,Movies,Movies
"January 30, 2019 at 07:00PM","They Shall Not Grow Old' Review: World War I, in Living Color",Ben Kenigsberg,"Peter Jackson's film is brisk, moving and destined to earn the ire of purists. |",https://www.nytimes.com/2019/01/31/movies/they-shall-not-grow-old-review.html?partner=IFTTT,"Movies, World War I (1914-18)",Movies
"January 30, 2019 at 07:00PM",N.Y. Today: Brutally Cold Weather,Azi Paybarah And Andy Newman,What you need to know for the coldest day in New York since 2016. |,https://www.nytimes.com/2019/01/31/nyregion/newyorktoday/ny-cold-weather.html?partner=IFTTT,Snow and Snowstorms,New York
"January 30, 2019 at 07:00PM",Aaron Donald Doesn't Look Like a Defensive Tackle. So He Reinvented the Position.,Ben Shpigel,The speed and power of the Rams' wrecking-ball lineman show that size isn't everything in the N.F.L. |,https://www.nytimes.com/2019/01/31/sports/football/aaron-donald-rams.html?partner=IFTTT,"Football, Super Bowl",Sports
"January 30, 2019 at 07:00PM","What's Going On in This Graph? | Feb. 6, 2019",The Learning Network,"Look closely at this graph, and join the moderated conversation about what you and other students see. |",https://www.nytimes.com/2019/01/31/learning/whats-going-on-in-this-graph-feb-6-2019.html?partner=IFTTT,,The Learning Network
"January 30, 2019 at 07:00PM",The Six Forms of Media Bias,David Leonhardt,"A media critic inveighs against the bias toward centrism, which inspires me to come up with my own list. |",https://www.nytimes.com/2019/01/31/opinion/media-bias-howard-schultz.html?partner=IFTTT,"News and News Media, United States Politics and Government, Liberalism (US Politics), Conservatism (US Politics)",Opinion
"January 30, 2019 at 07:00PM",Polar Vortex Live Updates: Bitter Cold Spreads From Midwest to East Coast,"Julie Bosman, Mitch Smith And Monica Davey",Temperatures remained near record lows in much of the Midwest for a second day on Thursday as parts of the Northeast also endured subzero wind chill readings. |,https://www.nytimes.com/2019/01/31/us/extreme-cold-weather.html?partner=IFTTT,"Weather, Frostbite",U.S.
"January 30, 2019 at 07:00PM",Trump Hails 'Good Intent and Spirit' of Trade Talks With China,Alan Rappeport,"President Trump, in a series of Twitter posts, described negotiations between American and Chinese officials in positive terms before a scheduled meeting with Liu He, China's vice premier. |",https://www.nytimes.com/2019/01/31/business/trump-china-trade-tariffs.html?partner=IFTTT,"United States International Relations, International Trade and World Market",Business
"January 30, 2019 at 07:00PM","Great American Plays, With a European Twist",A.J. Goldmann,"Productions in the region often take liberties with the text. But in stagings of Arthur Miller, Eugene O'Neill and Tennessee Williams, the directors (mostly) stick to the script. |",https://www.nytimes.com/2019/01/31/theater/american-plays-in-europe.html?partner=IFTTT,Theater,Theater
"January 30, 2019 at 07:00PM","Homes for Sale in Brooklyn, Queens and Manhattan",Stefanos Chen,"This week's properties are in Lenox Hill, Forest Hills, Queens, and Flatbush, Brooklyn. |",https://www.nytimes.com/2019/01/31/realestate/homes-for-sale-in-brooklyn-queens-and-manhattan.html?partner=IFTTT,Real Estate and Housing (Residential),Real Estate
"January 30, 2019 at 07:00PM",Homes for Sale in New York and Connecticut,Claudia Gryvatz Copquin And Lisa Prevost,"This week's homes include a four-bedroom in Fairfield, Conn. and a five-bedroom in Melville, N.Y. |",https://www.nytimes.com/2019/01/31/realestate/homes-for-sale-in-new-york-and-connecticut.html?partner=IFTTT,Real Estate and Housing (Residential),Real Estate
"January 30, 2019 at 07:00PM","Sanders Unveils Estate Tax Plan, Joining Democrats Who Want to Tax the Rich",Sydney Ember,"Senator Bernie Sanders introduced a plan lowering the threshold for taxing assets transferred to heirs, joining others in the party trying to address income inequality. |",https://www.nytimes.com/2019/01/31/us/politics/bernie-sanders-estate-tax.html?partner=IFTTT,"Wills and Estates, Presidential Election of 2020, Inheritance and Estate Taxes",U.S.
"January 30, 2019 at 07:00PM",Indian Leaders Are Accused of Covering Up 45-Year High in Unemployment,Jeffrey Gettleman And Hari Kumar,"Two economic advisers to the government resigned this week, apparently to protest the decision not to publish a report showing the jobless rate at 6.1 percent. |",https://www.nytimes.com/2019/01/31/world/asia/india-unemployment-rate.html?partner=IFTTT,"Politics and Government, Labor and Jobs, Unemployment, Economic Conditions and Trends, Classified Information and State Secrets",World
"January 30, 2019 at 07:00PM",On the Market in New York City,Unknown Author,"This week's properties are in Lenox Hill, Forest Hills, Queens, and Flatbush, Brooklyn. |",https://www.nytimes.com/slideshow/2019/01/31/realestate/on-the-market-in-new-york-city.html?partner=IFTTT,Real Estate and Housing (Residential),Real Estate
"January 30, 2019 at 07:00PM",On the Market in the New York Region,Unknown Author,"This week's homes include a four-bedroom in Fairfield, Conn., and a five-bedroom in Mellville, N.Y. |",https://www.nytimes.com/slideshow/2019/01/31/realestate/on-the-market-in-the-new-york-region.html?partner=IFTTT,Real Estate and Housing (Residential),Real Estate
"January 30, 2019 at 07:00PM",California Today: What Happens Next for PG&E Executives?,Jill Cowan,Thursday: Here's why it's unlikely that the utility's executives will face consequences; the Democrats' opening border offer; and love and betrayal and the Rams. |,https://www.nytimes.com/2019/01/31/us/california-today-pge-executives.html?partner=IFTTT,,U.S.
"January 30, 2019 at 07:00PM",Fewer Homes for Median Earners,Michael Kolomatsky,"Housing inventory is up, but that doesn't mean there are more homes you can afford. |",https://www.nytimes.com/2019/01/31/realestate/fewer-homes-for-median-earners.html?partner=IFTTT,"Real Estate and Housing (Residential), Mortgages",Real Estate
"January 30, 2019 at 07:00PM",Polar Vortex Live Updates: Bitter Cold Spreads From Midwest to East Coast,"Julie Bosman, Mitch Smith And Monica Davey",Temperatures remained near record lows in much of the Midwest for a second day on Thursday. The extreme cold has been linked to at least eight deaths. |,https://www.nytimes.com/2019/01/31/us/weather-polar-vortex.html?partner=IFTTT,"Weather, Frostbite",U.S.
"January 30, 2019 at 07:00PM","3 European Nations Create Firm to Trade With Iran, but Will Anyone Use It?",Steven Erlanger,"Britain, France and Germany have set up a financial mechanism to bolster the 2015 nuclear deal after the renewal of U.S. sanctions. Now comes the hard part. |",https://www.nytimes.com/2019/01/31/world/europe/europe-trade-iran-nuclear-deal.html?partner=IFTTT,"Embargoes and Sanctions, International Trade and World Market",World
"January 30, 2019 at 07:00PM",When American Filmmakers Try to Cross the Border,Chris Vognar,"As in â€œMiss Bala,â€ Hollywood envisions the Mexican-American divide filled with violence, but you can find big-screen visions of the territory's vitality. |",https://www.nytimes.com/2019/01/31/movies/mexico-border-movies.html?partner=IFTTT,Movies,Movies
"January 30, 2019 at 07:00PM",A Woman's Plea: Let's Raise Our Voices!,Unknown Author,"A reader wants to know why there are relatively few women on the letters page. She's right. The editors are determined to fix the problem, but they need your help. |",https://www.nytimes.com/2019/01/31/opinion/letters/letters-to-editor-new-york-times-women.html?partner=IFTTT,"Letters, Women and Girls",Opinion
"January 30, 2019 at 07:00PM","The Week in Good News: Mental Health and Music, Axolotls, Jackie Robinson",Des Shoe,"Start your weekend with a smile, or at least a lighter heart. |",https://www.nytimes.com/2019/01/31/briefing/week-in-good-news-axolotls-jackie-robinson.html?partner=IFTTT,,Briefing
"January 30, 2019 at 07:00PM",Miss Bala' Review: Gina Rodriguez Finds the Wrong Place at the Wrong Time,A.O. Scott,A Hollywood remake turns a grim tale of violence into a fable of empowerment. |,https://www.nytimes.com/2019/01/31/movies/miss-bala-review.html?partner=IFTTT,Movies,Movies
"January 30, 2019 at 07:00PM",Saudis End Purge That Began With Hundreds Locked in the Ritz-Carlton,David D. Kirkpatrick,"The kingdom may be trying to repair the image of Prince Mohammed bin Salman, who has been accused of ordering the killing of the dissident Jamal Khashoggi. |",https://www.nytimes.com/2019/01/31/world/middleeast/saudi-arabia-corruption-purge.html?partner=IFTTT,Politics and Government,World
"January 30, 2019 at 07:00PM",U.A.E. Accuses Qatar of Fielding Ineligible Players at Asian Cup,Tariq Panja,"Beaten on the field by Qatar, the United Arab Emirates has asked Asian Cup organizers to investigate its rival's leading scorer, Almoez Ali, and another player. |",https://www.nytimes.com/2019/01/31/sports/soccer/qatar-uae-asian-cup.html?partner=IFTTT,Soccer,Sports
"January 30, 2019 at 07:00PM","A Woman, Her Best Friend, and a Quick Walk Down the Aisle?",Vincent M. Mallozzi,"Lilly Smartelli always wanted a â€œbig Italian wedding.â€ But with no fiancÃ© in sight, she'll symbolically marry her dog Bernie, hoping to draw attention to organ donation and supporting dog shelters. |",https://www.nytimes.com/2019/01/31/fashion/weddings/a-woman-her-best-friend-and-a-quick-walk-down-the-aisle.html?partner=IFTTT,"Dogs, Weddings and Engagements, Animal Abuse, Rights and Welfare",Fashion
"January 30, 2019 at 07:00PM","A Fantasy Set in Africa, by Way of Hieronymus Bosch, GarcÃ­a MÃ¡rquez and Marvel Comics",Michiko Kakutani,"Michiko Kakutani reviews â€œBlack Leopard, Red Wolf,â€ the first volume of Marlon James's â€œDark Starâ€ trilogy. The novel is packed with dizzying references fused into something new and startling. |",https://www.nytimes.com/2019/01/31/books/review/black-leopard-red-wolf-marlon-james.html?partner=IFTTT,Books and Literature,Books
"January 30, 2019 at 07:00PM",Reality,Unknown Author,What's real anymore? |,https://www.nytimes.com/2019/01/31/podcasts/still-processing-reality-green-book-r-kelly.html?partner=IFTTT,,Podcasts
"January 30, 2019 at 07:00PM",We Tried Five Polar-Weather Experiments. Here's What Happened.,Katie Thomas,"With schools closed and temperatures well below zero, one family learned some hard lessons about the scientific process. |",https://www.nytimes.com/2019/01/31/science/polar-vortex-experiments.html?partner=IFTTT,your-feed-science,Science
"January 30, 2019 at 07:00PM",BBC Offers Clarification: Theresa May Isn't Going to Brussels in a Warplane,Palko Karasz,"The broadcaster said it was a mistake, not a hidden message, when it showed footage from World War II during a report on Brexit. |",https://www.nytimes.com/2019/01/31/world/europe/uk-theresa-may-spitfire-bbc.html?partner=IFTTT,"News and News Media, Great Britain Withdrawal from EU (Brexit), Politics and Government, Social Media",World
